"Source" "stat_id" "Statistic" "df1" "df2" "Value" "Reported.P.Value" "Computed" "Raw"
"186" 9 186 "F" "7.27" "419.24" "2.38" 0.05 0.019873435 "F(7.27, 419.24) = 2.38, p < .05"
"187" 9 187 "F" "3" "107" "7.7" 0.001 0.000104697 "F(3, 107) = 7.7, p < .001"
"188" 9 188 "F" "3" "107" "20.32" 0.001 1.7e-10 "F(3, 107) = 20.32, p < .001"
"189" 9 189 "F" "3" "107" "9.53" 0.001 1.24e-05 "F(3, 107) = 9.53, p < .001"
"190" 9 190 "F" "3" "89" "6.93" 0.001 0.000302615 "F(3, 89) = 6.93, p < .001"
"191" 9 191 "F" "3" "81" "4.56" 0.01 0.005290454 "F(3, 81) = 4.56, p < .01"
"192" 9 192 "F" "3" "89" "1.159" NA 0.329980092 "F(3, 89) = 1.159, ns"
"193" 9 193 "F" "3" "89" "3.55" 0.05 0.017611999 "F(3, 89) = 3.55, p < .05"
"194" 9 194 "F" "1" "149" "26.29" 0.001 9e-07 "F(1, 149) = 26.29, p < .001"
"195" 9 195 "F" "3" "149" "2.97" 0.05 0.033822847 "F(3, 149) = 2.97, p < .05"
"196" 9 196 "F" "2.29" "341.22" "78.85" 0.001 6.56e-32 "F(2.29, 341.22) = 78.85, p < .001"
"197" 9 197 "F" "3" "149" "3.04" 0.05 0.03091203 "F(3, 149) = 3.04, p < .05"
"198" 9 198 "F" "2.29" "341.22" "12.09" 0.001 2.59e-06 "F(2.29, 341.22) = 12.09, p < .001"
"199" 9 199 "F" "3" "62" "1.15" 0.35 0.336093904 "F(3, 62) = 1.15, p = .35"
"200" 9 200 "F" "3" "87" "8" 0.01 9.06e-05 "F(3, 87) = 8.0, p < .01"
"201" 9 201 "F" "2.11" "183.97" "24.13" 0.001 2.11e-10 "F(2.11, 183.97) = 24.13, p < .001"
"202" 9 202 "F" "2.49" "154.29" "57.24" 0.001 3.22e-22 "F(2.49, 154.29) = 57.24, p < .001"
"203" 9 203 "F" "1" "194" "23.31" 0.001 2.79e-06 "F(1, 194) = 23.31, p < .001"
"204" 9 204 "F" "3" "194" "13.49" 0.001 4.95e-08 "F(3, 194) = 13.49, p < .001"
"205" 10 205 "F" "7" "440" "0.65" 0.714 0.714411963 "F(7, 440) = 0.650, p = .714"
"206" 10 206 "F" "7" "453" "0.965" 0.456 0.456224968 "F(7, 453) = 0.965, p = .456"
"207" 10 207 "F" "7" "449" "0.714" 0.66 0.660208459 "F(7, 449) = 0.714, p = .660"
"208" 11 208 "F" "6" "42" "19.94" 0.001 7.32e-11 "F(6, 42) = 19.94, p < .001"
"209" 11 209 "F" "6" "42" "5.72" 0.001 0.000204121 "F(6, 42) = 5.72, p < .001"
"210" 11 210 "F" "6" "42" "17.21" 0.001 6.4e-10 "F(6, 42) = 17.21, p < .001"
"211" 11 211 "F" "6" "42" "2.69" 0.05 0.026653511 "F(6, 42) = 2.69, p < .05"
"212" 12 212 "F" "5" "305" "5.21" 0.001 0.000132155 "F(5, 305) = 5.21, p < .001"
"213" 12 213 "F" "5" "305" "4.81" 0.001 0.000300801 "F(5, 305) = 4.81, p < .001"
"214" 13 214 "t" "67" NA "-3.69" 0.001 0.00045183 "t(67) = -3.69, p < .001"
"215" 14 215 "F" "1" "56" "11.63" 0.001 0.001210167 "F(1, 56) = 11.63, p = .001"
"216" 14 216 "F" "1" "56" "8.7" 0.005 0.004636787 "F(1, 56) = 8.7, p = .005"
"217" 14 217 "F" "1" "49" "3.59" 0.04 0.064036975 "F(1, 49) = 3.59, p < .04"
"218" 14 218 "F" "1" "50" "3.62" 0.04 0.06285561 "F(1, 50) = 3.62, p < .04"
"219" 14 219 "F" "1" "53" "22.7" 0.001 1.51e-05 "F(1, 53) = 22.7, p < .001"
"220" 14 220 "F" "1" "53" "10.84" 0.002 0.001772371 "F(1, 53) = 10.84, p < .002"
"221" 14 221 "F" "1" "48" "6.13" 0.02 0.016870207 "F(1, 48) = 6.13, p < .02"
"222" 14 222 "F" "1" "53" "2.7" 0.11 0.106268574 "F(1, 53) = 2.70, p < .11"
"223" 14 223 "F" "1" "49" "16.17" 0.001 0.000199552 "F(1, 49) = 16.17, p < .001"
"224" 14 224 "F" "1" "49" "8.46" 0.01 0.005443116 "F(1, 49) = 8.46, p = .01"
"225" 14 225 "F" "2" "41" "4.27" 0.03 0.020676214 "F(2, 41) = 4.27, p < .03"
"226" 14 226 "F" "2" "41" "8.187" 0.001 0.001019551 "F(2, 41) = 8.187, p < .001"
"227" 14 227 "F" "2" "41" "5.98" 0.01 0.005261815 "F(2, 41) = 5.98, p < .01"
"228" 14 228 "F" "2" "36" "5.85" 0.01 0.006311233 "F(2, 36) = 5.85, p < .01"
"229" 14 229 "F" "2" "36" "5.18" 0.02 0.010540551 "F(2, 36) = 5.18, p < .02"
"230" 15 230 "t" "27" NA "0.32" 0.76 0.751431539 "t(27) = 0.32, p = .76"
"231" 15 231 "t" "30" NA "1.64" 0.11 0.111450723 "t(30) = 1.64, p = .11"
"232" 15 232 "t" "29" NA "1.22" 0.23 0.232293675 "t(29) = 1.22, p = .23"
"233" 15 233 "F" "2" "52" "67.68" 0.001 3.36e-15 "F(2, 52) = 67.68, p < .001"
"234" 15 234 "t" "28" NA "14.74" 0 1.01e-14 "t(28) = 14.74, p < .000"
"235" 15 235 "t" "31" NA "13.84" 0 8.21e-15 "t(31) = 13.84, p < .000"
"236" 15 236 "t" "41" NA "0.09" 0.93 0.928725453 "t(41) = 0.09, p = .93"
"237" 15 237 "F" "2" "52" "6.8" 0.005 0.002380056 "F(2, 52) = 6.80, p < .005"
"238" 15 238 "t" "30" NA "3.25" 0.005 0.002846033 "t(30) = 3.25, p < .005"
"239" 15 239 "t" "33" NA "3.62" 0.001 0.000975256 "t(33) = 3.62, p < .001"
"240" 15 240 "t" "41" NA "0.74" 0.47 0.463516512 "t(41) = 0.74, p = .47"
"241" 15 241 "F" "2" "52" "6.11" 0.005 0.004136748 "F(2, 52) = 6.11, p < .005"
"242" 15 242 "t" "30" NA "4.19" 0 0.00022597 "t(30) = 4.19, p < .000"
"243" 15 243 "t" "31" NA "2.84" 0.05 0.007898025 "t(31) = 2.84, p < .05"
"244" 15 244 "t" "41" NA "-1.48" 0.15 0.146516949 "t(41) = -1.48, p = .15"
"245" 15 245 "F" "2" "52" "8.24" 0.001 0.000778806 "F(2, 52) = 8.24, p < .001"
"246" 15 246 "t" "30" NA "4.82" 0 3.87e-05 "t(30) = 4.82, p < .000"
"247" 15 247 "t" "33" NA "4.19" 0 0.000195596 "t(33) = 4.19, p < .000"
"248" 15 248 "t" "41" NA "-0.85" 0.4 0.400261602 "t(41) = -0.85, p = .40"
"249" 15 249 "F" "2" "52" "4.29" 0.05 0.018859316 "F(2, 52) = 4.29, p < .05"
"250" 15 250 "t" "30" NA "2.99" 0.05 0.005527174 "t(30) = 2.99, p < .05"
"251" 15 251 "t" "32" NA "2.55" 0.05 0.015761779 "t(32) = 2.55, p < .05"
"252" 15 252 "t" "40" NA "-0.5" 0.62 0.619814735 "t(40) = -0.50, p = .62"
"253" 15 253 "F" "2" "52" "5.23" 0.05 0.008519919 "F(2, 52) = 5.23, p < .05"
"254" 15 254 "t" "28" NA "3.76" 0.001 0.000796644 "t(28) = 3.76, p < .001"
"255" 15 255 "t" "29" NA "2.48" 0.05 0.019190446 "t(29) = 2.48, p < .05"
"256" 15 256 "t" "37" NA "-0.77" 0.45 0.446188472 "t(37) = -0.77, p = .45"
"257" 15 257 "t" "41" NA "0.03" 0.98 0.976212614 "t(41) = 0.03, p = .98"
"258" 15 258 "t" "41" NA "-0.82" 0.42 0.416957888 "t(41) = -0.82, p = .42"
"259" 16 259 "t" "436" NA "1.94" 0.05 0.053024173 "t(436) = 1.94, p = .05"
"260" 16 260 "t" "436" NA "3.88" 0.01 0.000120591 "t(436) = 3.88, p < .01"
"261" 16 261 "t" "436" NA "3.18" 0.01 0.001577798 "t(436) = 3.18, p < .01"
"262" 17 262 "F" "1" "437" "9.22" 0.0025 0.002537066 "F(1, 437) = 9.22, p = .0025"
"263" 17 263 "Z" NA NA "-2.51" 0.012 0.012073116 " z = -2.51, p = .012"
"264" 17 264 "F" "1" "422" "6.81" 0.009 0.009387139 "F(1, 422) = 6.81, p = .009"
"265" 17 265 "t" "190" NA "1.35" 0.178 0.178622043 "t(190) = 1.35, p = .178"
"266" 17 266 "t" "190" NA "1.15" 0.251 0.251589279 "t(190) = 1.15, p = .251"
