"Source" "stat_id" "Statistic" "df1" "df2" "Value" "Reported.P.Value" "Computed" "Raw"
"6542" 331 6542 "t" "28" NA "-1,38" 0.1 0.178507048 "t(28) = -1.38, p > .10"
"6543" 331 6543 "t" "23" NA "-4,91" 0.001 5.83e-05 "t(23) = -4.91, p < .001"
"6544" 331 6544 "t" "13" NA "7,05" 0.001 8.67e-06 "t(13) = 7.05, p < .001"
"6545" 331 6545 "t" "15" NA "5,94" 0.001 2.71e-05 "t(15) = 5.94, p < .001"
"6546" 331 6546 "t" "13" NA "4,57" 0.01 0.000525626 "t(13) = 4.57, p < .01"
"6547" 332 6547 "F" "1" "118" "0,24" 0.62 0.625115696 "F(1,118) = .24, p = .62"
"6548" 332 6548 "F" "1" "19" "36,36" 0.001 8.43e-06 "F(1,19) = 36.36, p < .001"
"6549" 332 6549 "F" "1" "19" "19,6" 0.001 0.000289274 "F(1,19) = 19.60, p < .001"
"6550" 333 6550 "F" "1" "19" "36,22" 1e-04 8.64e-06 "F(1, 19) = 36.22, p < .0001"
"6551" 333 6551 "F" "1" "19" "9,39" 5e-04 0.006382655 "F(1, 19) = 9.39, p = .0005"
"6552" 333 6552 "F" "1" "19" "47,19" 1e-04 1.49e-06 "F(1, 19) = 47.19, p < .0001"
"6553" 333 6553 "F" "1" "19" "1,43" 0.252 0.246475877 "F(1, 19) = 1.43, p = .252"
"6554" 333 6554 "F" "1" "19" "3,95" 0.05 0.061479433 "F(1, 19) = 3.95, p < .05"
"6555" 333 6555 "t" "19" NA "2,05" 0.05 0.054422337 "t(19) = 2.05, p = .05"
"6556" 333 6556 "F" "2" "18" "0,46" 0.05 0.63850214 "F(2, 18) = .46, p > .05"
"6557" 333 6557 "Z" NA NA "1,98" 0.05 0.047703529 " z = 1.98, p < .05"
"6558" 333 6558 "Z" NA NA "-0,64" 0.05 0.522172599 " z = -.64, p > .05"
"6559" 333 6559 "F" "2" "42" "7,42" 5e-04 0.001739801 "F(2, 42) = 7.42, p < .0005"
"6560" 334 6560 "F" "3" "39" "3,6" 0.022 0.021766823 "F(3, 39) = 3.6, p = .022"
"6561" 334 6561 "F" "1" "13" "4,8" 0.046 0.047281605 "F(1, 13) = 4.8, p = .046"
"6562" 334 6562 "F" "3" "39" "1" 0.69 0.403073849 "F(3, 39) < 1, p = .69"
"6563" 334 6563 "r" "12" NA "0,7" 0.005 0.005313727 "r(12) = .70, p = .005"
"6564" 334 6564 "r" "12" NA "0,81" 0.001 0.000444939 "r(12) = .81, p < .001"
"6565" 334 6565 "r" "12" NA "0,71" 0.005 0.004441813 "r(12) = .71, p = .005"
"6566" 335 6566 "t" "23" NA "-17,26" 0 1.17e-14 "t(23) = -17.26, p = .000"
"6567" 335 6567 "t" "23" NA "4,74" 0 8.9e-05 "t(23) = 4.74, p = .000"
"6568" 335 6568 "t" "23" NA "0,7" 0.49 0.490947694 "t(23) = 0.7, p = .49"
"6569" 335 6569 "F" "1" "21" "5,2" 0.033 0.033135967 "F(1, 21) = 5.2, p = .033"
"6570" 335 6570 "t" "21" NA "-2,28" 0.033 0.033160241 "t(21) = -2.28, p = .033"
"6571" 335 6571 "F" "1" "23" "14,89" 0.001 0.000798398 "F(1, 23) = 14.89, p = .001"
"6572" 335 6572 "t" "23" NA "-3,28" 0.003 0.003284492 "t(23) = -3.28, p = .003"
"6573" 335 6573 "t" "23" NA "0,58" 0.571 0.567553677 "t(23) = 0.58, p = .571"
"6574" 335 6574 "F" "1" "23" "9,86" 0.005 0.004589694 "F(1, 23) = 9.86, p = .005"
"6575" 335 6575 "t" "23" NA "-1,15" 0.264 0.261961355 "t(23) = -1.15, p = .264"
"6576" 335 6576 "t" "23" NA "2,53" 0.019 0.018711079 "t(23) = 2.53, p = .019"
"6577" 335 6577 "F" "1" "23" "7,87" 0.01 0.010045713 "F(1, 23) = 7.87, p = .01"
"6578" 335 6578 "F" "1" "23" "4,83" 0.038 0.03830274 "F(1, 23) = 4.83, p = .038"
"6579" 335 6579 "F" "1" "23" "8,89" 0.007 0.006671999 "F(1, 23) = 8.89, p = .007"
"6580" 335 6580 "t" "23" NA "-3,24" 0.004 0.003615481 "t(23) = -3.24, p = .004"
"6581" 335 6581 "t" "23" NA "-0.072" 0.943 0.943224356 "t(23) = -0.072, p = .943"
"6582" 335 6582 "F" "1" "23" "4,56" 0.044 0.043600466 "F(1, 23) = 4.56, p = .044"
"6583" 335 6583 "F" "1" "23" "10.04" 0.004 0.004288302 "F(1, 23) = 10.04, p = .004"
"6584" 335 6584 "t" "23" NA "3,05" 0.006 0.005680969 "t(23) = 3.05, p = .006"
"6585" 335 6585 "t" "23" NA "3,5" 0.002 0.001928061 "t(23) = 3.5, p = .002"
"6586" 335 6586 "t" "23" NA "1,06" 0.299 0.300149833 "t(23) = 1.06, p = .299"
"6587" 335 6587 "t" "23" NA "0,35" 0.729 0.729523491 "t(23) = 0.35, p = .729"
"6588" 336 6588 "F" "3" "105" "0,83" 0.05 0.480266168 "F(3, 105) = .83, p > .05"
"6589" 336 6589 "F" "3" "105" "47,47" 0.001 1.81e-19 "F(3, 105) = 47.47, p < .001"
"6590" 336 6590 "F" "3" "105" "7,56" 0.001 0.000125625 "F(3, 105) = 7.56, p < .001"
"6591" 336 6591 "F" "3" "72" "10,47" 0.001 8.49e-06 "F(3, 72) = 10.47, p < .001"
"6592" 336 6592 "F" "3" "253" "2,69" 0.05 0.046854065 "F(3, 253) = 2.69, p < .05"
"6593" 336 6593 "F" "3" "260" "2,7" 0.05 0.046184318 "F(3, 260) = 2.7, p < .05"
"6594" 336 6594 "F" "3" "253" "3,09" 0.05 0.02771055 "F(3, 253) = 3.09, p < .05"
"6595" 336 6595 "F" "3" "235" "3,015" 0.05 0.03073303 "F(3, 235) = 3.015, p < .05"
"6596" 336 6596 "F" "3" "266" "12,4" 0.001 1.29e-07 "F(3, 266) = 12.4, p < .001"
"6597" 336 6597 "F" "3" "209" "4,01" 0.01 0.008389768 "F(3, 209) = 4.01, p < .01"
"6598" 336 6598 "F" "3" "255" "3,04" 0.05 0.029582273 "F(3, 255) = 3.04, p < .05"
"6599" 336 6599 "F" "3" "299" "2,67" 0.05 0.047742328 "F(3, 299) = 2.67, p < .05"
"6600" 336 6600 "F" "3" "316" "2,74" 0.05 0.043444911 "F(3, 316) = 2.74, p < .05"
"6601" 336 6601 "F" "1" "209" "29,5" 0.001 1.55e-07 "F(1, 209) = 29.5, p < .001"
"6602" 336 6602 "F" "1" "288" "21,67" 0.001 4.95e-06 "F(1, 288) = 21.67, p < .001"
"6603" 336 6603 "F" "1" "260" "11,35" 0.001 0.000868891 "F(1, 260) = 11.35, p < .001"
"6604" 336 6604 "F" "3" "260" "6,08" 0.001 0.000516325 "F(3, 260) = 6.08, p < .001"
"6605" 336 6605 "F" "3" "253" "3,29" 0.05 0.021282719 "F(3, 253) = 3.29, p < .05"
"6606" 336 6606 "F" "3" "255" "17,8" 0.001 1.6e-10 "F(3, 255) = 17.8, p < .001"
"6607" 337 6607 "F" "1" "202" "4,34" 0.05 0.038485437 "F(1, 202) = 4.34, p < .05"
"6608" 337 6608 "F" "1" "202" "7,25" 0.01 0.00768534 "F(1, 202) = 7.25, p < .01"
"6609" 337 6609 "F" "1" "202" "10.16" 0.01 0.001663291 "F(1, 202) = 10.16, p < .01"
"6610" 337 6610 "F" "1" "202" "8,79" 0.005 0.003393289 "F(1, 202) = 8.79, p < .005"
"6611" 337 6611 "F" "1" "202" "9,87" 0.005 0.001932344 "F(1, 202) = 9.87, p < .005"
"6612" 337 6612 "F" "1" "202" "1,22" 0.27 0.270674586 "F(1, 202) = 1.22, p = .27"
"6613" 337 6613 "F" "1" "202" "4,35" 0.05 0.038265014 "F(1, 202) = 4.35, p < .05"
"6614" 337 6614 "F" "1" "202" "13,32" 0.001 0.000334335 "F(1, 202) = 13.32, p < .001"
"6615" 337 6615 "F" "1" "202" "3,91" 0.05 0.04935961 "F(1, 202) = 3.91, p < .05"
"6616" 337 6616 "F" "1" "202" "6,06" 0.05 0.014666005 "F(1, 202) = 6.06, p < .05"
"6617" 337 6617 "F" "1" "354" "6,5" 0.05 0.011208431 "F(1, 354) = 6.50, p < .05"
"6618" 338 6618 "F" "1" "15" "5,79" 0.05 0.029463163 "F(1, 15) = 5.79, p < .05"
"6619" 338 6619 "F" "3" "45" "3,07" 0.05 0.037235223 "F(3, 45) = 3.07, p < .05"
"6620" 338 6620 "F" "1" "15" "6,37" 0.05 0.023376091 "F(1, 15) = 6.37, p < .05"
"6621" 338 6621 "F" "3" "45" "12,1" 0.05 6.19e-06 "F(3, 45) = 12.10, p < .05"
"6622" 338 6622 "F" "1" "15" "5,09" 0.05 0.039422944 "F(1, 15) = 5.09, p < .05"
"6623" 338 6623 "F" "3" "45" "13,15" 0.05 2.69e-06 "F(3, 45) = 13.15, p < .05"
"6624" 338 6624 "F" "3" "45" "50,6" 0.001 1.84e-14 "F(3, 45) = 50.60, p < .001"
"6625" 338 6625 "F" "3" "45" "6,54" 0.01 0.000913528 "F(3, 45) = 6.54, p < .01"
"6626" 339 6626 "F" "2" "18" "18,28" 0.001 4.63e-05 "F(2, 18) = 18.28, p < .001"
"6627" 339 6627 "t" "8" NA "3,98" 0.01 0.004061696 "t(8) = 3.98, p < .01"
"6628" 339 6628 "t" "8" NA "2,43" 0.01 0.041202244 "t(8) = 2.43, p < .01"
"6629" 339 6629 "F" "2" "18" "8,11" 0.001 0.003082709 "F(2, 18) = 8.11, p < .001"
"6630" 339 6630 "t" "8" NA "2,03" 0.05 0.076857235 "t(8) = 2.03, p < .05"
"6631" 339 6631 "t" "8" NA "2,03" 0.05 0.076857235 "t(8) = 2.03, p < .05"
"6632" 339 6632 "F" "2" "18" "30,92" 0.001 1.5e-06 "F(2, 18) = 30.92, p < .001"
"6633" 339 6633 "t" "8" NA "4,41" 0.01 0.002256406 "t(8) = 4.41, p < .01"
"6634" 339 6634 "t" "8" NA "3,43" 0.05 0.008954845 "t(8) = 3.43, p < .05"
"6635" 339 6635 "t" "39" NA "2,07" 0.05 0.045120885 "t(39) = 2.07, p < .05"
"6636" 339 6636 "t" "39" NA "2,09" 0.05 0.043186924 "t(39) = 2.09, p < .05"
"6637" 340 6637 "F" "1" "18" "16,83" 0.001 0.000668584 "F(1, 18) = 16.83, p < .001"
"6638" 340 6638 "F" "2" "36" "3,05" 0.06 0.059754042 "F(2, 36) = 3.05, p < .06"
"6639" 340 6639 "F" "2" "36" "0,96" 0.4 0.392477801 "F(2, 36) = 0.96, p > .40"
"6640" 340 6640 "F" "1" "18" "13" 0.002 0.002022073 "F(1, 18) = 13.00, p < .002"
"6641" 340 6641 "F" "2" "36" "4,65" 0.016 0.015983702 "F(2, 36) = 4.65, p < .016"
"6642" 340 6642 "F" "2" "36" "0,84" 0.43 0.439996194 "F(2, 36) = 0.84, p > .43"
"6643" 340 6643 "F" "1" "18" "16,22" 0.001 0.000790106 "F(1, 18) = 16.22, p < .001"
"6644" 340 6644 "F" "2" "36" "482,89" 0.001 9.99e-27 "F(2, 36) = 482.89, p < .001"
"6645" 340 6645 "F" "2" "36" "4,04" 0.027 0.026127417 "F(2, 36) = 4.04, p < .027"
"6646" 340 6646 "F" "1" "18" "46,56" 0.001 2.18e-06 "F(1, 18) = 46.56, p < .001"
"6647" 340 6647 "F" "1" "18" "4,5" 0.049 0.048037528 "F(1, 18) = 4.5, p < .049"
"6648" 340 6648 "F" "2" "36" "15,8" 0.001 1.19e-05 "F(2, 36) = 15.8, p < .001"
"6649" 340 6649 "F" "2" "36" "5,41" 0.009 0.008824287 "F(2, 36) = 5.41, p < .009"
"6650" 340 6650 "F" "2" "36" "10,56" 0.001 0.000246183 "F(2, 36) = 10.56, p < .001"
"6651" 340 6651 "F" "2" "36" "13,49" 0.001 4.24e-05 "F(2, 36) = 13.49, p < .001"
"6652" 340 6652 "t" "18" NA "3,65" 0.002 0.001831634 "t(18) = 3.65, p < .002"
"6653" 340 6653 "t" "18" NA "2,47" 0.024 0.023740727 "t(18) = 2.47, p < .024"
"6654" 340 6654 "t" "18" NA "2,17" 0.044 0.043634703 "t(18) = 2.17, p < .044"
"6655" 340 6655 "t" "18" NA "2,24" 0.04 0.037949266 "t(18) = 2.24, p < .04"
"6656" 340 6656 "F" "2" "38" "5,51" 0.008 0.007921283 "F(2, 38) = 5.51, p < .008"
"6657" 340 6657 "F" "1" "19" "8,39" 0.01 0.009248531 "F(1, 19) = 8.39, p < .01"
"6658" 340 6658 "F" "2" "38" "4,5" 0.018 0.017620938 "F(2, 38) = 4.5, p < .018"
"6659" 340 6659 "F" "2" "38" "1,56" 0.22 0.223295166 "F(2, 38) = 1.56, p > .22"
"6660" 340 6660 "F" "1" "19" "40,4" 0.001 4.25e-06 "F(1, 19) = 40.4, p < .001"
"6661" 340 6661 "F" "2" "38" "7,73" 0.002 0.00152524 "F(2, 38) = 7.73, p < .002"
"6662" 340 6662 "F" "2" "38" "0,8" 0.45 0.456751312 "F(2, 38) = 0.80, p > .45"
"6663" 340 6663 "F" "1" "19" "93,91" 0.001 8.71e-09 "F(1, 19) = 93.91, p < .001"
"6664" 340 6664 "F" "2" "38" "387,4" 0.001 5.32e-26 "F(2, 38) = 387.4, p < .001"
"6665" 340 6665 "F" "2" "38" "31,24" 0.001 9.47e-09 "F(2, 38) = 31.24, p < .001"
"6666" 340 6666 "F" "1" "19" "6,65" 0.019 0.018399562 "F(1, 19) = 6.65, p < .019"
"6667" 340 6667 "F" "1" "19" "22,18" 0.001 0.000152593 "F(1, 19) = 22.18, p < .001"
"6668" 340 6668 "F" "2" "38" "3,27" 0.049 0.048936657 "F(2, 38) = 3.27, p < .049"
"6669" 340 6669 "F" "2" "38" "6,25" 0.005 0.004501447 "F(2, 38) = 6.25, p < .005"
"6670" 340 6670 "F" "2" "38" "0,43" 0.65 0.653634861 "F(2, 38) = 0.43, p > .65"
"6671" 340 6671 "t" "19" NA "3,88" 0.001 0.001007809 "t(19) = 3.88, p < .001"
"6672" 340 6672 "t" "19" NA "4,1" 0.001 0.000609746 "t(19) = 4.10, p < .001"
"6673" 340 6673 "F" "5" "90" "3,91" 0.063 0.002972112 "F(5, 90) = 3.91, p < .063"
"6674" 340 6674 "F" "10" "180" "1,92" 0.045 0.045035283 "F(10, 180) = 1.92, p < .045"
"6675" 340 6675 "F" "10" "180" "2,05" 0.031 0.030807438 "F(10, 180) = 2.05, p < .031"
"6676" 341 6676 "t" "9" NA "1,41" 0.15 0.192149314 "t(9) = 1.41, p > .150"
"6677" 341 6677 "t" "9" NA "1,77" 0.1 0.110506514 "t(9) = 1.77, p > .100"
"6678" 341 6678 "t" "9" NA "2,01" 0.05 0.075328044 "t(9) = 2.01, p > .05"
"6679" 341 6679 "t" "9" NA "6,28" 0.001 0.000144377 "t(9) = 6.28, p < .001"
"6680" 341 6680 "t" "48" NA "1,42" 0.15 0.162070437 "t(48) = 1.42, p > .150"
"6681" 341 6681 "t" "48" NA "1,46" 0.15 0.150804584 "t(48) = 1.46, p > .150"
"6682" 341 6682 "t" "48" NA "1,54" 0.1 0.130127473 "t(48) = 1.54, p > .100"
"6683" 342 6683 "F" "1" "11" "9,598" 0.01 0.010139106 "F(1, 11) = 9.598, p = .010"
"6684" 343 6684 "F" "1" "19" "35,56" 0.001 9.71e-06 "F(1, 19) = 35.56, p < .001"
"6685" 343 6685 "F" "1" "19" "0,49" 0.492 0.492410088 "F(1, 19) = .49, p = .492"
"6686" 343 6686 "F" "1" "19" "0,23" 0.636 0.636997925 "F(1, 19) = .23, p = .636"
"6687" 343 6687 "F" "2" "38" "55,5" 0.001 5.31e-12 "F(2, 38) > 55.5, p < .001"
"6688" 343 6688 "F" "2" "38" "51,92" 0.001 1.35e-11 "F(2, 38) > 51.92, p < .001"
"6689" 343 6689 "F" "1" "19" "13,83" 0.001 0.001455747 "F(1, 19) = 13.83, p < .001"
"6690" 343 6690 "F" "1" "19" "5,74" 0.03 0.027038503 "F(1, 19) = 5.74, p < .03"
"6691" 343 6691 "F" "1" "19" "6,14" 0.02 0.022775599 "F(1, 19) = 6.14, p < .02"
"6692" 343 6692 "F" "1" "16" "24,01" 0.01 0.000160202 "F(1, 16) = 24.01, p < .01"
"6693" 344 6693 "t" "11" NA "6,06" 0.001 8.19e-05 "t(11) = 6.06, p < .001"
"6694" 344 6694 "t" "11" NA "20,3" 0.001 4.56e-10 "t(11) = 20.30, p < .001"
"6695" 344 6695 "t" "6" NA "61,28" 0.001 1.27e-09 "t(6) = 61.28, p < .001"
"6696" 344 6696 "F" "1" "11" "20,72" 0.001 0.000827524 "F(1, 11) = 20.72, p = .001"
"6697" 344 6697 "F" "1" "11" "7,71" 0.018 0.018010257 "F(1, 11) = 7.71, p = .018"
"6698" 344 6698 "F" "1" "11" "4" 0.071 0.070803955 "F(1, 11) = 4.00, p = .071"
"6699" 344 6699 "F" "1" "11" "3,08" 0.107 0.107033812 "F(1, 11) = 3.08, p = .107"
"6700" 344 6700 "F" "1" "11" "9,84" 0.009 0.009460926 "F(1, 11) = 9.84, p = .009"
"6701" 344 6701 "F" "1" "11" "7,68" 0.018 0.018185272 "F(1, 11) = 7.68, p = .018"
"6702" 344 6702 "F" "1" "11" "34,17" 0.001 0.000111618 "F(1, 11) = 34.17, p < .001"
"6703" 344 6703 "F" "1" "11" "7,4" 0.02 0.019920979 "F(1, 11) = 7.40, p = .020"
"6704" 344 6704 "F" "1" "11" "17,68" 0.001 0.001473718 "F(1, 11) = 17.68, p = .001"
"6705" 344 6705 "t" "11" NA "3,04" 0.011 0.011246596 "t(11) = 3.04, p = .011"
"6706" 344 6706 "t" "11" NA "3,5" 0.005 0.004970291 "t(11) = 3.50, p = .005"
"6707" 344 6707 "t" "11" NA "3,22" 0.008 0.008159068 "t(11) = 3.22, p = .008"
"6708" 344 6708 "t" "11" NA "2,61" 0.024 0.024257508 "t(11) = 2.61, p = .024"
"6709" 344 6709 "F" "1" "11" "1,87" 0.198 0.19876562 "F(1, 11) = 1.87, p = .198"
"6710" 344 6710 "F" "1" "11" "4,97" 0.048 0.047580492 "F(1, 11) = 4.97, p = .048"
"6711" 344 6711 "F" "1" "11" "4,91" 0.049 0.048717557 "F(1, 11) = 4.91, p = .049"
"6712" 344 6712 "F" "1" "11" "1,23" 0.291 0.291065437 "F(1, 11) = 1.23, p = .291"
"6713" 344 6713 "F" "1" "11" "5,59" 0.038 0.037526625 "F(1, 11) = 5.59, p = .038"
"6714" 344 6714 "F" "1" "11" "2,95" 0.114 0.113861669 "F(1, 11) = 2.95, p = .114"
"6715" 344 6715 "t" "11" NA "1,64" 0.13 0.129261122 "t(11) = 1.64, p = .130"
"6716" 344 6716 "t" "11" NA "1,08" 0.304 0.303252982 "t(11) = 1.08, p = .304"
"6717" 344 6717 "t" "11" NA "1,98" 0.074 0.073269302 "t(11) = 1.98, p = .074"
"6718" 344 6718 "F" "1" "11" "3,15" 0.103 0.103568593 "F(1, 11) = 3.15, p = .103"
"6719" 344 6719 "F" "1" "11" "1,47" 0.25 0.250743163 "F(1, 11) = 1.47, p = .250"
"6720" 344 6720 "F" "1" "11" "2,35" 0.153 0.153525367 "F(1, 11) = 2.35, p = .153"
"6721" 344 6721 "F" "1" "11" "55,22" 0.001 1.31e-05 "F(1, 11) = 55.22, p < .001"
"6722" 344 6722 "F" "1" "11" "5,06" 0.046 0.045934628 "F(1, 11) = 5.06, p = .046"
"6723" 344 6723 "F" "1" "11" "5,32" 0.042 0.041553002 "F(1, 11) = 5.32, p = .042"
"6724" 344 6724 "t" "11" NA "1,35" 0.203 0.20414001 "t(11) = 1.35, p = .203"
"6725" 344 6725 "t" "11" NA "2,2" 0.05 0.050086111 "t(11) = 2.20, p = .050"
"6726" 345 6726 "t" "14" NA "1,21" 0.24 0.246313703 "t(14) = 1.21, p > .24"
"6727" 345 6727 "t" "14" NA "1,3" 0.21 0.214597593 "t(14) = 1.30, p > .21"
"6728" 345 6728 "t" "14" NA "4,57" 0.001 0.000436716 "t(14) = 4.57, p < .001"
"6729" 345 6729 "t" "14" NA "1,07" 0.3 0.302720716 "t(14) = 1.07, p > .30"
"6730" 345 6730 "t" "14" NA "3,01" 0.01 0.009364035 "t(14) = 3.01, p < .01"
"6731" 345 6731 "t" "14" NA "-2,52" 0.024 0.024500685 "t(14) = -2.52, p < .024"
"6732" 346 6732 "t" "28" NA "3,27" 0.003 0.002850554 "t(28) = 3.27, p = .003"
"6733" 346 6733 "t" "28" NA "2,24" 0.03 0.033210859 "t(28) = 2.24, p = .03"
"6734" 346 6734 "t" "28" NA "2,46" 0.02 0.020328336 "t(28) = 2.46, p = .02"
"6735" 346 6735 "t" "14" NA "2,73" 0.016 0.016271261 "t(14) = 2.73, p = .016"
"6736" 346 6736 "t" "14" NA "0.13" 0.9 0.898415809 "t(14) = 0.13, p = .9"
"6737" 346 6737 "t" "28" NA "1,98" 0.058 0.057608432 "t(28) = 1.98, p = .058"
"6738" 346 6738 "t" "28" NA "2,2" 0.036 0.036225485 "t(28) = 2.20, p = .036"
"6739" 346 6739 "t" "28" NA "1,17" 0.25 0.251863828 "t(28) = 1.17, p = .25"
"6740" 346 6740 "t" "28" NA "0,92" 0.37 0.365431374 "t(28) = 0.92, p = .37"
"6741" 347 6741 "F" "3,4" "141,3" "6,46" 0.001 0.00021013 "F(3.4, 141.3) = 6.46, p < .001"
"6742" 347 6742 "t" "42" NA "3,87" 0.001 0.000373302 "t(42) = 3.87, p < .001"
"6743" 347 6743 "t" "42" NA "4,32" 0.001 9.35e-05 "t(42) = 4.32, p < .001"
"6744" 347 6744 "t" "42" NA "2,94" 0.01 0.005316617 "t(42) = 2.94, p < .01"
"6745" 347 6745 "F" "2,9" "119,7" "84,6" 0.001 6.26e-29 "F(2.9, 119.7) = 84.6, p < .001"
"6746" 347 6746 "F" "2,9" "119,7" "4,31" 0.01 0.006917218 "F(2.9, 119.7) = 4.31, p < .01"
"6747" 347 6747 "t" "42" NA "4,44" 0.001 6.41e-05 "t(42) = 4.44, p < .001"
"6748" 347 6748 "t" "42" NA "4,17" 0.001 0.000149127 "t(42) = 4.17, p < .001"
"6749" 347 6749 "t" "42" NA "4,87" 0.001 1.62e-05 "t(42) = 4.87, p < .001"
"6750" 347 6750 "t" "42" NA "3,67" 0.001 0.00067844 "t(42) = 3.67, p < .001"
"6751" 347 6751 "F" "1" "42" "8,16" 0.01 0.006631722 "F(1, 42) = 8.16, p < .01"
"6752" 347 6752 "F" "1" "22" "40,56" 0.001 2.08e-06 "F(1, 22) = 40.56, p < .001"
"6753" 347 6753 "F" "1" "20" "7,57" 0.05 0.012309361 "F(1, 20) = 7.57, p < .05"
"6754" 347 6754 "F" "1" "20" "17,34" 0.001 0.000479273 "F(1, 20) = 17.34, p < .001"
"6755" 347 6755 "F" "1" "20" "2,71" 0.1 0.115345501 "F(1, 20) = 2.71, p > .1"
"6756" 347 6756 "t" "28" NA "3,72" 0.01 0.000885532 "t(28) = 3.72, p < .01"
"6757" 347 6757 "F" "1" "14" "18,94" 0.005 0.000663413 "F(1, 14) = 18.94, p < .005"
"6758" 347 6758 "t" "22" NA "6,05" 0.001 4.34e-06 "t(22) = 6.05, p < .001"
"6759" 347 6759 "F" "1" "42" "120,72" 0.001 6.27e-14 "F(1, 42) = 120.72, p < .001"
"6760" 347 6760 "F" "1" "42" "9,5" 0.005 0.003621048 "F(1, 42) = 9.50, p < .005"
"6761" 347 6761 "F" "1" "42" "5,81" 0.05 0.020391714 "F(1, 42) = 5.81, p < .05"
"6762" 347 6762 "F" "1" "42" "17,64" 0.001 0.000135879 "F(1, 42) = 17.64, p < .001"
"6763" 347 6763 "F" "1" "42" "2,73" 0.1 0.105937038 "F(1, 42) = 2.73, p > .1"
"6764" 347 6764 "F" "1" "42" "11,4" 0.005 0.001591997 "F(1, 42) = 11.40, p < .005"
"6765" 347 6765 "F" "1" "42" "7,86" 0.01 0.007618431 "F(1, 42) = 7.86, p < .01"
"6766" 347 6766 "F" "1" "28" "8,91" 0.01 0.005830117 "F(1, 28) = 8.91, p < .01"
"6767" 347 6767 "t" "30" NA "3,25" 0.005 0.002846033 "t(30) = 3.25, p < .005"
"6768" 347 6768 "F" "1" "30" "14,67" 0.005 0.000607661 "F(1, 30) = 14.67, p < .005"
"6769" 347 6769 "F" "4,3" "95,1" "4,9" 0.005 0.000930156 "F(4.3, 95.1) = 4.9, p < .005"
"6770" 347 6770 "F" "3,7" "157" "5,8" 0.001 0.000332511 "F(3.7, 157.0) = 5.80, p < .001"
"6771" 347 6771 "F" "3,7" "157" "1,34" 0.1 0.259508543 "F(3.7, 157.0) = 1.34, p > .1"
"6772" 347 6772 "F" "1" "30" "4,63" 0.05 0.039589456 "F(1, 30) = 4.63, p < .05"
"6773" 348 6773 "t" "18" NA "0,81" 0.43 0.428519265 "t(18) = 0.81, p = .43"
"6774" 348 6774 "t" "18" NA "0,32" 0.7 0.752652938 "t(18) = 0.32, p = .70"
"6775" 348 6775 "t" "18" NA "0,63" 0.54 0.536610782 "t(18) = 0.63, p = .54"
"6776" 348 6776 "Z" NA NA "2,3" 0.05 0.02144822 " Z = 2.3, p = .05"
"6777" 348 6777 "Z" NA NA "2,3" 0.05 0.02144822 " Z = 2.3, p = .05"
"6778" 348 6778 "r" "31" NA "-0.1" 0.39 0.579786076 "r(31) = -0.1, p = .39"
"6779" 348 6779 "r" "31" NA "0.01" 0.9 0.955953717 "r(31) = 0.01, p = .9"
"6780" 348 6780 "Z" NA NA "2,3" 0.05 0.02144822 " Z = 2.3, p = .05"
"6781" 349 6781 "F" "1" "27" "306,53" 1e-04 2.89e-16 "F(1, 27) = 306.53, p < .0001"
"6782" 349 6782 "F" "1" "26" "122,01" 1e-04 2.57e-11 "F(1, 26) = 122.01, p < .0001"
"6783" 349 6783 "F" "1" "26" "15,25" 0.001 0.000598464 "F(1, 26) = 15.25, p < .001"
"6784" 349 6784 "F" "1" "26" "9,24" 0.005 0.005343051 "F(1, 26) = 9.24, p < .005"
"6785" 349 6785 "F" "2" "26" "0,224" 0.801 0.800841652 "F(2, 26) = 0.224, p = .801"
"6786" 349 6786 "F" "2" "26" "4,157" 0.027 0.027134762 "F(2, 26) = 4.157, p < .027"
"6787" 349 6787 "t" "8" NA "3,35" 0.01 0.010080298 "t(8) = 3.35, p < .010"
"6788" 349 6788 "t" "9" NA "2,61" 0.028 0.028270757 "t(9) = 2.61, p = .028"
"6789" 349 6789 "t" "9" NA "3,5" 0.007 0.006723516 "t(9) = 3.50, p < .007"
"6790" 349 6790 "t" "9" NA "4,28" 0.002 0.002049956 "t(9) = 4.28, p < .002"
"6791" 349 6791 "F" "1" "26" "9,236" 0.006 0.005351631 "F(1, 26) = 9.236, p < .006"
"6792" 349 6792 "F" "2" "26" "4,157" 0.027 0.027134762 "F(2, 26) = 4.157, p < .027"
"6793" 349 6793 "t" "18" NA "4,6" 0.001 0.000222249 "t(18) = 4.6, p < .001"
"6794" 349 6794 "t" "18" NA "5,72" 4e-04 2.01e-05 "t(18) = 5.72, p < .0004"
"6795" 349 6795 "F" "1" "17" "103,142" 1e-04 1.23e-08 "F(1, 17) = 103.142, p < .0001"
"6796" 349 6796 "F" "1" "17" "164,735" 1e-04 3.57e-10 "F(1, 17) = 164.735, p < .0001"
"6797" 349 6797 "F" "1" "17" "13,916" 0.002 0.001664212 "F(1, 17) = 13.916, p < .002"
"6798" 349 6798 "F" "1" "17" "7,21" 0.016 0.015652689 "F(1, 17) = 7.210, p < .016"
"6799" 349 6799 "F" "1" "17" "5,414" 0.033 0.032592457 "F(1, 17) = 5.414, p < .033"
"6800" 349 6800 "t" "9" NA "-4,87" 0.001 0.000883517 "t(9) = -4.870, p < .001"
