"";"fishTest.0.01";"fishTest.0.02";"fishTest.0.03";"fishTest.0.04";"fishTest.0.05";"fishTest.0.07";"fishTest.0.09";"fishTest.0.11";"fishTest.0.13";"fishTest.0.15";"fishTest.0.2";"fishTest.0.25";"fishTest.0.3";"fishTest.0.35";"fishTest.0.4";"fishTest.0.45";"fishTest.0.5";"fishTest.0.55";"fishTest.0.6";"fishTest.0.65";"fishTest.0.7";"fishTest.0.75";"fishTest.0.8";"fishTest.0.85";"fishTest.0.9";"fishTest.0.95";"fishTestCompl.0.01";"fishTestCompl.0.02";"fishTestCompl.0.03";"fishTestCompl.0.04";"fishTestCompl.0.05";"fishTestCompl.0.07";"fishTestCompl.0.09";"fishTestCompl.0.11";"fishTestCompl.0.13";"fishTestCompl.0.15";"fishTestCompl.0.2";"fishTestCompl.0.25";"fishTestCompl.0.3";"fishTestCompl.0.35";"fishTestCompl.0.4";"fishTestCompl.0.45";"fishTestCompl.0.5";"fishTestCompl.0.55";"fishTestCompl.0.6";"fishTestCompl.0.65";"fishTestCompl.0.7";"fishTestCompl.0.75";"fishTestCompl.0.8";"fishTestCompl.0.85";"fishTestCompl.0.9";"fishTestCompl.0.95"
"58";0,238;0,33;0,363;0,468;0,528;0,582;0,652;0,723;0,776;0,787;0,873;0,909;0,953;0,957;0,978;0,987;0,997;0,998;1;1;1;1;1;1;0;0;0,06;0,04;0,032;0,017;0,014;0,009;0,003;0,002;0,001;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
"59";0,561;0,889;0,981;0,994;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0,015;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,751;1
"60";0,717;0,936;0,991;0,996;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,003;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1
"61";0,47;0,732;0,854;0,925;0,962;0,987;0,996;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0,960106382978723;0;0;0;0,024;0,006;0,001;0,001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1
"62";0,488;0,707;0,848;0,919;0,963;0,987;0,995;1;0,999;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0,018;0,009;0,005;0,001;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1
"63";0,416;0,726;0,885;0,962;0,982;0,997;1;0,999;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0,015;0,005;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"64";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"65";0,174;0,278;0,394;0,456;0,522;0,625;0,742;0,803;0,829;0,88;0,938;0,963;0,99;0,998;0,996;1;1;1;1;1;1;1;0;0;0;0;0,05;0,024;0,009;0,003;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1
"66";0,698;0,94;0,984;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0,004;0,002;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1
"67";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
